top_reviews
"At every imaginative juncture, the filmmakers (the screenplay is credited to Pixar veteran Molina and Matthew Aldrich) create a richly woven tapestry of comprehensively researched storytelling, fully dimensional characters, clever touches both tender and amusingly macabre, and vivid, beautifully textured visuals."
"Thankfully, Coco, Pixar’s latest original work and one of their very best, truly does transport you. The results are magical and feel somewhat rebellious given the current political climate, which makes the film feel even more special."
"Coco is the best-looking Pixar movie since the tonally uneven “The Good Dinosaur.” The colorful afterlife is the centerpiece, but excellence is found in unexpected places."
"Coco is packed with terrific original tunes such as “Remember Me” (by Robert Lopez and Kristen Anderson-Lopez of “Frozen”) and “Proud Corazón” (co-written by Adrian Molina, the film’s co-director). But it’s not your average musical, in which characters wail their wants and feelings. That’s a refreshing change."
"I had some minor quibbles about Coco while I was watching it, but I can’t remember what they were. This film is a classic."
"It’s heart that’s overflowing with love, poignancy, humor, color and music."
"Pixar has raised the animation bar again, with its most musical — and arguably most magical — film yet. If this is the afterlife we’re all headed to, don’t fear the reaper."
"If an animated movie is going to offer children a way to process death, it’s hard to envision a more spirited, touching and breezily entertaining example than Coco."
"This is a masterpiece of woven ancestral roots and the importance of “familia,” confident in song and poetic in vision."
"Pixar’s latest animated film may lack the volume of out-loud laughs of the “Toy Story” series, but the fantasy set in Mexico doesn’t skimp on the tears. It’s as if the studio turned the touching first seven minutes of “Up” into a nearly two-hour feature film."
