user_reviews
"A Tear-Stained Celebration of Overflowing Love, Mexican Heritage, and the Power of Memory.180303 (5.0)Cheeks soaked in tears, brimming with an overwhelming pour of love. The traditions of Día de los Muertos and Mexican music are melted together so brilliantly. Directed by Lee Unkrich and co-directed by Adrian Molina, the 2017 Pixar animated feature ""Coco"" follows 12-year-old Miguel, an aspiring musician who finds himself accidentally transported to the vibrant Land of the Dead despite his family's generations-old ban on music. Teaming up with the charming trickster Héctor to uncover the real story behind his musical heritage, the film delivers a visually dazzling and deeply resonant journey that honors ancestral remembrance, family bonds, and the unforgettable power of song to bridge the living and the departed."
"Que obra perfeita, Sinceramente,se tornou meu filme favorito de animação e recomendo muito,senti conforto e ao mesmo tempo hipnotizado pelas cores vibrantes."
a disney classic - probably one of their best work just because of how authentic it is and the ending made me cry
[SPOILER ALERT: This review contains spoilers.]
Best animated movie I've watched until now. It has literally shaped my childhood.
"One of Pixar's top 5 movies. What makes this movie so good is not only  an emotional story with twists and turns, but the insane visual effects to show the land of the dead. This movie has the best visual effects of any Pixar movie in my opinion."
[SPOILER ALERT: This review contains spoilers.]
"7.5/10

O maior ponto positivo desse filme é a originalidade tanto da ambientação (Mexico e no dia dos mortos) como na história e criação do mundo dos mortos com regras que se todos esquecerem de um morto, ele morre de verdade, achei bem poético isso.

Sobre a história ela é bem tocante, com um final muito emocionante. O filme conta a história de Miguel um garoto cuja família detesta musica e ele sonha em ser um músico e acaba ficando preso no mundo dos mortos e pra voltar precisa da benção de um familiar mas os que estão lá querem a condição dele não se envovler com musica. Miguel então tenta procurar o de La Cruz pq acha que ele é seu tataravo mas na realidade ele é só fdp que matou o seu tataravo, o que é um belo plot twist. No final ele consegue voltar e fazer a bisavo lembrar do seu tataravo.

De ponto negativo as dublagens das musicas não ficaram legais e tem muita musica nesse filme e a enrolação pra encontrar o De La Cruz e depois que encontra as cenas chatas de perseguição não ficaram tão legais."
"Viva: A Vida é uma Festa não é só um dos melhores filmes da Pixar, é uma verdadeira obra-prima. Ele acerta em tudo: roteiro, emoção, trilha sonora, animação e mensagem. É um filme que pode ser assistido e apreciado em diferentes fases da vida, sempre oferecendo algo novo para refletir.Nota: 100/100 – Obra-prima"
"YES YES YES, THAT'S THE GOOD FILM. I CRIED SO HARD. GOOD PLOT, MUSIC, CHARACTERS, LOVE THIS FILM."
What a good movie. I absolutely love this film and the beautiful and impactful story that it tells!
Benim için ortalama bir yapımdı. İzlenebilir ama izlemediğiniz daha kaliteli yapımlar varsa onlara yönelin.
"I honestly cannot believe how overrated this film is. It has higher ratings than many Disney classics which makes absolutely no sense. This movie was a slog for me to get through. I didn't care about any of the characters. Also, the plot had huge holes. We find out who the villain is 2/3rds into the movie. And that is finally when the whole thing gets interesting. But by then it is too late, the movie is just a lost cause at that point. Because really most of the movie you are thinking that the family is the villain as the main character goes around crying like a spoiled brat because he refuses to listen to his family. Which brings me to my final point: I am tired of Disney movies making family members villains or having morally grey villains or sometimes no villain at all. Where are the proper villains?"
"Coco has a colorful and lively inspirational magic that is very inventive, shines encouraging talent and to remember your family as the strings play beautiful songs and sends a valuable note."
"Pixar explores Mexican culture, probing the spirituality and mythos of Day of the Dead while digging into a family conflict that's several generations old.

It's a visual, audible and emotional delight, enlivened with loud splashes of color and texture, and accompanied by a constantly upbeat musical vitality. There's no escaping the visual fabric of this film, immersive and jaw-dropping, as it constantly one-ups itself right alongside the developing plot. Particularly stunning is our crossing into the land of the deceased, a monumental city of stacked shanties that shimmers and glistens and pulses as its residents decorate and celebrate their annual recognition.

The story is simple but effective, perhaps a touch on the predictable side... but so are many animated classics, and sometimes there's something to be said for following through on a promise. Coco wears its heart on its sleeve, with a permeating, spirited warmth that's impossible to ignore, while also touching on tricky, lingering feelings of betrayal and repression.

Dazzling and optimistic, with a subject that's, surprisingly, never been explored with such playful reverence in a major family film. Good to see the studio has kept tabs on that bottled magic; for a while, I worried they'd misplaced it."
"Perfection.  Best ""kids movie"" I've ever seen.  Every theme lands beautifully.  The colors and animation are outstanding.  The music is arresting.  Anthony Gonzalez gives what should have been a star-making vocal performance.  Ben Bratt and Gael Garcia Bernal are also in this thing, for Pete's sake.  The villain is believably terrifying, with concrete motivations.  The twist is mind-blowingly good.  Can't recommend this enough.  Culturally and cinematically significant, and will persist through generations of families, just like in the film itself."
